group,n,accuracy,ci_lower,ci_upper,mean_sem_sim,mean_ctx_sim
frontdoor keys,23,0.6957,0.4783,0.8696,0.487,0.6416
fruit trees,7,0.5714,0.1429,0.8571,0.4761,0.561
fruits and vegetables,26,0.6154,0.4231,0.8077,0.4784,0.5437
get water,3,0.3333,0.0,1.0,0.2707,0.5967
glasses or lenses,19,1.0,1.0,1.0,0.7837,0.6601
grains,27,0.3704,0.1852,0.5556,0.4262,0.5233
guest bed,13,0.5385,0.3077,0.7692,0.4693,0.5868
hair brush/comb,49,0.898,0.8163,0.9796,0.6799,0.6364
hallway,3,0.3333,0.0,1.0,0.4698,0.5808
hand back,44,0.7955,0.6591,0.9091,0.5501,0.6086
hand palm,44,0.9773,0.9091,1.0,0.6855,0.6325
hand washing,27,0.4815,0.2963,0.6667,0.5356,0.6143
home,39,0.2051,0.1026,0.334,0.3567,0.5666
icons,12,0.0,0.0,0.0,0.1785,0.5015
idols,9,0.0,0.0,0.0,0.167,0.5106
jewelry,19,0.8947,0.7368,1.0,0.6817,0.6265
kitchen,40,0.6,0.45,0.75,0.604,0.6189
kitchen sink,29,0.7931,0.6207,0.931,0.7732,0.6681
knifes,27,0.8889,0.7778,1.0,0.6629,0.6432
latest furniture bought,10,0.1,0.0,0.3,0.2527,0.5428
light source in kitchen,28,0.4286,0.25,0.608,0.4109,0.6101
light source in livingroom,37,0.2973,0.1622,0.4595,0.3743,0.6055
light sources,9,0.0,0.0,0.0,0.2911,0.5832
lightsources by bed,4,0.0,0.0,0.0,0.3616,0.5883
living room,22,0.3636,0.1818,0.5909,0.4781,0.5925
lock on front door,39,0.6923,0.5385,0.8462,0.5408,0.6259
make up,6,0.0,0.0,0.0,0.2963,0.5623
meat or fish,17,0.2941,0.1176,0.5294,0.3681,0.5513
medication,27,0.5926,0.4074,0.7778,0.4954,0.5886
menstruation pads / tampax,13,0.5385,0.3077,0.7692,0.4131,0.5733
moped/motorcycle,6,1.0,1.0,1.0,0.5678,0.6068
mosquito protection,17,0.6471,0.4118,0.8824,0.4821,0.5939
most loved item,15,0.0,0.0,0.0,0.1621,0.5249
most loved toy,17,0.4118,0.1765,0.6471,0.3969,0.5499
music equipment,13,0.2308,0.0,0.4615,0.4039,0.5838
necklaces,14,0.9286,0.7857,1.0,0.7907,0.6539
next big thing you are planning to buy,23,0.0,0.0,0.0,0.1526,0.5123
nicest shoes,44,0.8409,0.7273,0.9318,0.5035,0.5592
oven,14,0.5714,0.2857,0.8571,0.522,0.5838
paper,19,0.4737,0.2632,0.6842,0.4344,0.6174
parking lot,8,0.25,0.0,0.625,0.4198,0.5389
pen/pencils,27,0.9259,0.8148,1.0,0.6417,0.6423
pet,17,0.5882,0.3529,0.8235,0.552,0.5385
pet foods,11,0.8182,0.5455,1.0,0.6301,0.6046
phone,25,0.88,0.72,1.0,0.6424,0.6589
photo guide images,6,0.0,0.0,0.0,0.1946,0.5213
piercings,8,0.625,0.25,0.875,0.459,0.5166
place where eating dinner,42,0.4524,0.3095,0.5952,0.4184,0.5697
place where serving guests,5,0.2,0.0,0.6,0.3911,0.5367
plate of food,31,0.3548,0.1935,0.5161,0.4429,0.5751
plates,27,0.5926,0.4074,0.7778,0.5156,0.5752
play area,23,0.087,0.0,0.2174,0.3102,0.5549
power outlet,32,0.9688,0.9062,1.0,0.6743,0.6408
radio,21,0.5238,0.2857,0.7143,0.5465,0.5988
refrigerator,18,0.8889,0.7222,1.0,0.8063,0.6824
roof,49,0.6122,0.4893,0.7551,0.5339,0.5857
rug,14,0.7143,0.5,0.9286,0.6359,0.6154
salt,33,0.4242,0.2727,0.6061,0.4511,0.5848
shampoo,42,0.6429,0.5,0.7625,0.6282,0.6384
shaving,17,0.7059,0.4706,0.8824,0.5574,0.558
shower,17,0.4706,0.2353,0.7059,0.5225,0.5987
sitting area,19,0.2632,0.0526,0.4737,0.3619,0.5458
smoke and steam exit,17,0.0,0.0,0.0,0.2065,0.5374
soap for hands and body,40,0.675,0.525,0.825,0.5102,0.5519
social drink,26,0.2308,0.0769,0.3846,0.3186,0.5556
source of cool,25,0.0,0.0,0.0,0.2146,0.5409
source of heat,17,0.5294,0.2941,0.7647,0.3715,0.5778
spices,30,0.5667,0.4,0.7333,0.5219,0.5975
storage room,16,0.375,0.1875,0.625,0.4757,0.5772
stove/hob,41,0.5366,0.3902,0.6829,0.5242,0.5872
street detail,33,0.1818,0.0606,0.3333,0.3696,0.5724
street view,44,0.3864,0.2494,0.5455,0.4039,0.5655
switch on/off,29,0.5172,0.3448,0.7241,0.4156,0.6123
table with food,15,0.8,0.6,1.0,0.6519,0.6251
tattoos,5,1.0,1.0,1.0,0.73,0.652
teeth,32,0.2812,0.125,0.4375,0.4248,0.5584
thing i dream about having,13,0.0,0.0,0.0,0.1084,0.5282
toilet,36,0.8611,0.75,0.9444,0.8107,0.6683
toilet paper,37,0.6757,0.5135,0.8108,0.6865,0.6405
tools,27,0.2963,0.1111,0.4815,0.4188,0.578
tooth paste,25,0.68,0.519,0.84,0.527,0.6432
toothbrush,30,0.8667,0.7333,0.9667,0.7691,0.6698
toys,27,0.5556,0.3704,0.7407,0.5063,0.5532
transport of heavy things,4,0.0,0.0,0.0,0.1821,0.553
trash/waste,23,0.6522,0.4348,0.8261,0.5412,0.5911
tv,26,0.8846,0.7692,1.0,0.7539,0.6584
vegetable plot,8,0.25,0.0,0.625,0.3851,0.5792
vegetables,24,0.5,0.2917,0.7083,0.457,0.5709
visit,20,0.0,0.0,0.0,0.1437,0.521
wall,33,0.6364,0.4848,0.7879,0.5125,0.5953
wall clock,17,1.0,1.0,1.0,0.924,0.7034
wall decoration,35,0.2286,0.1143,0.3714,0.377,0.5473
wall inside,39,0.4615,0.3077,0.6154,0.4087,0.5971
wardrobe,45,0.8444,0.7333,0.9333,0.6365,0.6064
washing clothes/cleaning,31,0.6774,0.5161,0.8387,0.5092,0.5894
washing detergent,36,0.7222,0.5833,0.8611,0.512,0.5941
waste dumps,12,0.5833,0.3333,0.8333,0.4706,0.5945
wedding photos,3,0.6667,0.0,1.0,0.4422,0.565
wheel barrow,9,0.6667,0.3333,1.0,0.5118,0.655
work area,16,0.0625,0.0,0.1875,0.2409,0.5416
worship places,9,0.2222,0.0,0.5556,0.3475,0.5405
