model,image_id,region,income_quintile,ground_truth,predicted,error_type,sem_similarity,ctx_similarity,confidence,raw_response
qwen_vl,5ec4f7e7f0611d7ddd740a2c,as,Q3,agriculture land,crops in field,correct,0.6871,0.5353,,Crops in field
qwen_vl,5d4bea29cf0b3a0f3f349e9c,as,Q4,agriculture land,forest,misclassification,0.3856,0.5062,,Forest
qwen_vl,5d4bee86cf0b3a0f3f3518de,as,Q4,agriculture land,rice paddy,misclassification,0.4386,0.5038,,Rice paddy
qwen_vl,5d4be0bdcf0b3a0f3f339c93,as,Q4,agriculture land,garden,correct,0.5696,0.5092,,Garden
qwen_vl,5d4bf1eccf0b3a0f3f3575ba,am,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4bf1d4cf0b3a0f3f357304,am,Q1,agriculture land,grassland,correct,0.5124,0.5078,,Grassland
qwen_vl,5d4bdeebcf0b3a0f3f336d09,eu,Q2,agriculture land,abandoned land,correct,0.5386,0.5139,,Abandoned land
qwen_vl,5d4bdf3ecf0b3a0f3f3375ad,eu,Q2,agriculture land,greenhouse with tomato plants,misclassification,0.2259,0.5448,,Greenhouse with tomato plants
qwen_vl,5d4bdefecf0b3a0f3f336f03,eu,Q3,agriculture land,plowed field,misclassification,0.3916,0.5044,,Plowed field
qwen_vl,5d4bdf94cf0b3a0f3f337e09,eu,Q4,agriculture land,rural landscape,correct,0.6071,0.5233,,Rural landscape
qwen_vl,5ec4fa26f0611d7ddd741d7d,eu,Q5,agriculture land,garden,correct,0.5696,0.5092,,Garden
qwen_vl,5d4bef2bcf0b3a0f3f352bf8,af,Q1,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be007cf0b3a0f3f338962,af,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf229cf0b3a0f3f357ce2,af,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be234cf0b3a0f3f33c511,af,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4beb82cf0b3a0f3f34c5a8,af,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be010cf0b3a0f3f338a36,af,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4bef64cf0b3a0f3f35329a,as,Q1,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4bef51cf0b3a0f3f353066,as,Q1,arm watch,hand with watch,correct,0.7005,0.6467,,Hand with watch
qwen_vl,5d4bec73cf0b3a0f3f34df5a,as,Q1,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be788cf0b3a0f3f3459d8,as,Q1,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bef58cf0b3a0f3f35312e,as,Q1,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be744cf0b3a0f3f345240,as,Q1,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bef77cf0b3a0f3f3534c6,as,Q2,arm watch,watch on wrist,correct,0.6964,0.6595,,Watch on wrist
qwen_vl,5d4bee6dcf0b3a0f3f3515ea,as,Q2,arm watch,watch on floral wallpaper,misclassification,0.2377,0.5228,,Watch on floral wallpaper
qwen_vl,5d4beea1cf0b3a0f3f351bfa,as,Q2,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4bef6acf0b3a0f3f353350,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4f5443f62767d97a472ab,as,Q2,arm watch,watch on a hand,correct,0.5886,0.6345,,Watch on a hand
qwen_vl,5d4bea50cf0b3a0f3f34a32e,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bee9acf0b3a0f3f351b30,as,Q2,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4bf191cf0b3a0f3f356bb2,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be99bcf0b3a0f3f348eec,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4f8eaf0611d7ddd7412ee,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bee76cf0b3a0f3f35170a,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4becfbcf0b3a0f3f34ecfa,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bef70cf0b3a0f3f35340c,as,Q2,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4bf313cf0b3a0f3f35973e,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf2dbcf0b3a0f3f359086,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be76dcf0b3a0f3f3456ca,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be8bacf0b3a0f3f3474b8,as,Q2,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be9dccf0b3a0f3f3496a0,as,Q2,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be37acf0b3a0f3f33e5ab,as,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4becf2cf0b3a0f3f34ebea,as,Q2,arm watch,cell phone,misclassification,0.2852,0.5025,,Cell phone
qwen_vl,5d4bf166cf0b3a0f3f356732,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf2d4cf0b3a0f3f358fae,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bee8fcf0b3a0f3f3519ee,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be632cf0b3a0f3f3433c1,as,Q3,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be9bccf0b3a0f3f3492d2,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be0e6cf0b3a0f3f33a157,as,Q3,arm watch,watches,correct,0.6791,0.5883,,Watches
qwen_vl,5d4bf294cf0b3a0f3f358822,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf17acf0b3a0f3f356932,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be720cf0b3a0f3f344efc,as,Q3,arm watch,watch on fabric,correct,0.4908,0.5344,,Watch on fabric
qwen_vl,5d4bf05dcf0b3a0f3f354cbe,as,Q3,arm watch,watches,correct,0.6791,0.5883,,Watches
qwen_vl,5d4bf072cf0b3a0f3f354eb6,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be191cf0b3a0f3f33b41f,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be5cecf0b3a0f3f342845,as,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bea32cf0b3a0f3f349f98,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bee88cf0b3a0f3f351924,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be732cf0b3a0f3f34503c,as,Q4,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5d4be152cf0b3a0f3f33adcf,as,Q4,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be104cf0b3a0f3f33a4c3,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf2e9cf0b3a0f3f35923c,as,Q4,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5d4be066cf0b3a0f3f339298,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bf172cf0b3a0f3f356832,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be0accf0b3a0f3f339a95,as,Q4,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5ec4fab1f0611d7ddd7421ce,as,Q4,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be0becf0b3a0f3f339cab,as,Q4,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5ec4f7f3f0611d7ddd740a9a,as,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be13acf0b3a0f3f33ab1d,as,Q4,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5ec4f957f0611d7ddd74168b,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be820cf0b3a0f3f346a6b,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be114cf0b3a0f3f33a69b,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be10bcf0b3a0f3f33a59f,as,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be70ecf0b3a0f3f344cfa,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be828cf0b3a0f3f346b0f,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be12bcf0b3a0f3f33a94f,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be134cf0b3a0f3f33aa57,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be0e7cf0b3a0f3f33a161,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be0a4cf0b3a0f3f33999f,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be10ccf0b3a0f3f33a5ad,as,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be976cf0b3a0f3f348a9a,as,Q5,arm watch,watches,correct,0.6791,0.5883,,Watches
qwen_vl,5d4bf3eccf0b3a0f3f35ac5e,am,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4fa8bf0611d7ddd742098,am,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be14ccf0b3a0f3f33ad2d,am,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be193cf0b3a0f3f33b46d,am,Q3,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be19ccf0b3a0f3f33b577,am,Q3,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be422cf0b3a0f3f33f918,am,Q3,arm watch,watch on wrist,correct,0.6964,0.6595,,Watch on wrist
qwen_vl,5d4be09ccf0b3a0f3f3398cb,am,Q3,arm watch,digital watch on a wrist,correct,0.629,0.6457,,Digital watch on a wrist.
qwen_vl,5d4be1a4cf0b3a0f3f33b65b,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bed20cf0b3a0f3f34f0dc,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4fb77f0611d7ddd742858,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4fafff0611d7ddd742465,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be536cf0b3a0f3f34183a,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bed2fcf0b3a0f3f34f234,am,Q4,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4be4ebcf0b3a0f3f340f7a,am,Q4,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be1bbcf0b3a0f3f33b8b5,am,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be42acf0b3a0f3f33f9f6,am,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5d4be095cf0b3a0f3f3397e7,am,Q5,arm watch,smartwatch,correct,0.6503,0.606,,Smartwatch
qwen_vl,5d4bebdbcf0b3a0f3f34d00d,am,Q5,arm watch,hand with ring and watch,correct,0.5265,0.6201,,Hand with ring and watch
qwen_vl,5d4bded5cf0b3a0f3f336a7b,eu,Q2,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5d4bdf79cf0b3a0f3f337b55,eu,Q4,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5d4be419cf0b3a0f3f33f808,eu,Q4,arm watch,digital watch,correct,0.5797,0.5658,,Digital watch
qwen_vl,5ec4f5c3f4a4fb7dc03879d3,eu,Q4,arm watch,smartwatch,correct,0.6503,0.606,,Smartwatch
qwen_vl,5ec4fc24f0611d7ddd742e01,eu,Q5,arm watch,wristband,correct,0.5852,0.5356,,Wristband
qwen_vl,5d4be8e0cf0b3a0f3f347940,eu,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5ec4f8ebf0611d7ddd7412f1,eu,Q5,arm watch,smartwatch,correct,0.6503,0.606,,Smartwatch
qwen_vl,5ec4f8f9f0611d7ddd74136e,eu,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5ec4fa76f0611d7ddd741fdc,eu,Q5,arm watch,jewelry organizer,misclassification,0.2203,0.5058,,Jewelry organizer
qwen_vl,5d4bdf8acf0b3a0f3f337d09,eu,Q5,arm watch,watch,correct,0.5567,0.6284,,Watch
qwen_vl,5ec4f924f0611d7ddd7414d6,eu,Q5,arm watch,watch on a hand,correct,0.5886,0.6345,,Watch on a hand
qwen_vl,5d4be933cf0b3a0f3f3482e0,eu,Q5,arm watch,wristwatches,correct,0.6924,0.5488,,Wristwatches
qwen_vl,5ec4f5443f62767d97a472ad,eu,Q5,arm watch,wristwatch,correct,0.7405,0.5709,,Wristwatch
qwen_vl,5ec4fb0ef0611d7ddd7424e8,af,Q2,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f9f4f0611d7ddd741bc4,af,Q2,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4fad1f0611d7ddd7422ea,af,Q2,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f98cf0611d7ddd741845,af,Q2,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f9d7f0611d7ddd741acd,af,Q3,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f986f0611d7ddd741810,af,Q3,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4fa3af0611d7ddd741e20,af,Q5,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f7f3f0611d7ddd740a98,as,Q1,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,5f63c3b356d7d1095bff685a,as,Q1,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f7e7f0611d7ddd740a2b,as,Q3,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5edf9aed12a02248b087e2ed,as,Q4,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5d4bdff4cf0b3a0f3f3387ae,as,Q4,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f86af0611d7ddd740e9a,as,Q4,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,5ec4f751f0611d7ddd740514,am,Q3,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,5ec4f764f0611d7ddd7405a8,am,Q3,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4fb31f0611d7ddd742608,am,Q3,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,5f80b5e9959799b5934c2ca4,am,Q4,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5f4fa6480ed38d3f1062bc54,am,Q4,arm watches,smartwatch,correct,0.6669,0.6007,,Smartwatch
qwen_vl,5f18cebb8c6d776f898d4676,am,Q4,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f96cf0611d7ddd741747,am,Q4,arm watches,apple watch,correct,0.6914,0.5396,,Apple Watch
qwen_vl,5f8609e37299b5628892293a,am,Q5,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f609f4a4fb7dc0387c3e,am,Q5,arm watches,jewelry dish,misclassification,0.2054,0.5006,,Jewelry dish
qwen_vl,5ec4fabdf0611d7ddd74223b,eu,Q4,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f898f0611d7ddd741025,eu,Q5,arm watches,watch,correct,0.5351,0.6337,,Watch
qwen_vl,5ec4f909f0611d7ddd7413e9,eu,Q5,arm watches,smartwatch,correct,0.6669,0.6007,,Smartwatch
qwen_vl,5d4bde20cf0b3a0f3f3359fd,eu,Q5,arm watches,wristband,correct,0.5941,0.5252,,Wristband
qwen_vl,5ec4f916f0611d7ddd741456,eu,Q5,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,605a87f56a9ea51622079f63,eu,Q5,arm watches,wristwatch,correct,0.7605,0.5715,,Wristwatch
qwen_vl,5d4bf324cf0b3a0f3f3598f2,af,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf33ccf0b3a0f3f359b94,af,Q1,armchair,spoon on a wooden stool,misclassification,0.3567,0.5127,,Spoon on a wooden stool
qwen_vl,5d4befcfcf0b3a0f3f353e06,af,Q1,armchair,wooden board,misclassification,0.4203,0.5021,,Wooden board
qwen_vl,5d4bec4ccf0b3a0f3f34db24,af,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bec91cf0b3a0f3f34e26a,af,Q1,armchair,broken chair,correct,0.552,0.6363,,Broken chair
qwen_vl,5d4bf346cf0b3a0f3f359c9c,af,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4becd2cf0b3a0f3f34e832,af,Q1,armchair,abandoned chair,correct,0.5297,0.6319,,Abandoned chair
qwen_vl,5d4becefcf0b3a0f3f34eb8c,af,Q1,armchair,fire pit,misclassification,0.1537,0.5006,,Fire pit
qwen_vl,5d4bef06cf0b3a0f3f3527b8,af,Q1,armchair,wooden bench,correct,0.5346,0.5113,,Wooden bench
qwen_vl,5d4bf114cf0b3a0f3f355efc,af,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf35dcf0b3a0f3f359e68,af,Q1,armchair,dirty floor with scattered items,misclassification,0.0944,0.5013,,Dirty floor with scattered items
qwen_vl,5d4bdf2dcf0b3a0f3f3373ed,af,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4befeccf0b3a0f3f35410a,af,Q1,armchair,wooden chairs,correct,0.6101,0.5957,,Wooden chairs
qwen_vl,5d4bee20cf0b3a0f3f350e26,af,Q1,armchair,"corner with a bench, pumpkins, and dried leaves",misclassification,0.3397,0.5024,,"Corner with a bench, pumpkins, and dried leaves."
qwen_vl,5d4bf04ecf0b3a0f3f354b7e,af,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bef27cf0b3a0f3f352b92,af,Q1,armchair,wooden bench,correct,0.5346,0.5113,,Wooden bench
qwen_vl,5d4bf084cf0b3a0f3f3550d4,af,Q1,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5d4bf099cf0b3a0f3f3552b8,af,Q1,armchair,outdoor kitchen scene,misclassification,0.2231,0.5129,,Outdoor kitchen scene
qwen_vl,5d4bdf6acf0b3a0f3f3379b1,af,Q1,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4bee30cf0b3a0f3f350f3e,af,Q1,armchair,wooden bench,correct,0.5346,0.5113,,Wooden bench
qwen_vl,5d4bef12cf0b3a0f3f35291e,af,Q1,armchair,blue plastic chair,misclassification,0.4455,0.6439,,Blue plastic chair
qwen_vl,5d4beefccf0b3a0f3f352694,af,Q1,armchair,"outdoor seating area with benches, jerry cans, and a blue plastic chair",misclassification,0.3584,0.5632,,"Outdoor seating area with benches, jerry cans, and a blue plastic chair."
qwen_vl,5d4be045cf0b3a0f3f338ed8,af,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5ed28d59fb6e130106e0ea1a,af,Q1,armchair,bamboo mat,misclassification,0.2494,0.501,,Bamboo mat
qwen_vl,5d4bf056cf0b3a0f3f354bfe,af,Q1,armchair,outdoor furniture,misclassification,0.4213,0.5657,,Outdoor furniture
qwen_vl,5d4be625cf0b3a0f3f34322f,af,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4be22dcf0b3a0f3f33c449,af,Q1,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5d4bee06cf0b3a0f3f350b38,af,Q1,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5d4bf05bcf0b3a0f3f354c7e,af,Q1,armchair,wooden desk,correct,0.5296,0.5064,,Wooden desk
qwen_vl,5d4be3facf0b3a0f3f33f480,af,Q1,armchair,yellow container,misclassification,0.1103,0.5133,,Yellow container
qwen_vl,5d4bdf24cf0b3a0f3f3372f3,af,Q2,armchair,children,misclassification,0.1886,0.5234,,Children
qwen_vl,5d4bdf70cf0b3a0f3f337a49,af,Q2,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4be4e5cf0b3a0f3f340ed4,af,Q2,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5d4bedb8cf0b3a0f3f350238,af,Q2,armchair,plastic stool,misclassification,0.3673,0.5121,,Plastic stool
qwen_vl,5d4bed9fcf0b3a0f3f34ff4c,af,Q2,armchair,clothing on chair,correct,0.4572,0.6306,,Clothing on chair
